acousticness,popularity
0.000204,36
0.000204,0
0.000204,36
0.00020555,53
0.0002075,51.5
0.000209,77
0.000209,25
0.000214,44
0.000214,39
0.000214683,41.1
0.000215,33
0.000215,0
0.000215,0
0.000215,0
0.000215,0
0.000216,0
0.000217,0
0.000217,0
0.000218,33
0.000218,32
0.000218267,35.44444444
0.000222,55
0.000222,40
0.000224667,48.66666667
0.00022815,53
0.0002283,37.66666667
0.000229,44
0.000230667,51.33333333
0.000231,41
0.000232,49
0.0002335,56
0.000233601,43
0.000234,50
0.000235,69
0.000235,65
0.000236,27
0.000238,45
0.000238467,44.33333333
0.000241386,43
0.000243,40
0.000243,45
0.000246,53
0.000247,0
0.000248,34
0.000251,43
0.000251,43
0.00025335,46
0.000254,49
0.000254667,47.66666667
0.000255,49
0.000255556,39.48148148
0.000256,47
0.000259,10
0.000259,10
0.000262,60
0.0002625,54
0.000263,39
0.000264,47
0.000264,47
0.00026485,42
0.000265,35
0.000265,47.5
0.000269,51
0.0002709,33.4
0.000273,54
0.000274,43
0.000275233,50.66666667
0.000277,45
0.000279,62
0.000281,0
0.00028162,30
0.000283,47
0.000285,46
0.000285,46
0.000286,51
0.000286,0
0.000287,52
0.000293,59
0.000293,43
0.000293063,47.66666667
0.000294,49
0.000295609,41.77777778
0.000296,54
0.000298,44
0.000298,58
0.000298,21
0.000299,33
0.0003,38
0.000301,0
0.0003022,57.75
0.000304725,60.25
0.000305,43
0.000306,42
0.000309,43
0.000309,54
0.000309,41
0.000313,72
0.000313,72
0.000315,61
0.000319,62
0.000319,62
0.000319,62
0.000321,66
0.000323,42
0.000323,44
0.000325,42
0.000325,42
0.0003252,51
0.0003265,42.5
0.000329,64
0.0003295,64
0.000331,60
0.000332,49
0.000333,50
0.000333,50
0.000333,50
0.000333,50
0.000333,50
0.000335,3
0.000335,47
0.000335,3
0.000336,48
0.000337,37
0.000341,62
0.000343,45
0.000343,55
0.000349393,45.33333333
0.000351,62
0.000352,1
0.000353,36
0.000354039,33.42857143
0.000356,44
0.000357,0
0.000358,39
0.000362,53
0.000364,0
0.0003655,46
0.000366,35.5
0.000372,34
0.000374,51
0.0003755,47
0.000377,41
0.0003845,32.5
0.000385,56
0.000386,1
0.000386,44
0.000392,44
0.000393,40
0.0003937,37
0.000395217,56.45
0.000397,0
0.000399,40
0.000401,37
0.000401567,46.66666667
0.0004021,47
0.000403,57
0.000404867,59
0.000405,58
0.000407,51
0.000407,27
0.000408,0
0.000408,0
0.00041075,55.83333333
0.000412,24
0.000417,44
0.000417,44
0.000417,44
0.0004175,32.33333333
0.000418,65
0.000419,0
0.000419,0
0.00042,37
0.000423657,44.57142857
0.000426,63
0.000426,63
0.000427,33
0.000431623,48.66666667
0.000432,51
0.000435,0
0.000435,0
0.000438667,70
0.000440797,51.66666667
0.000445333,48.33333333
0.000446,61
0.000449,68
0.000449,52
0.000452,37
0.000452,0
0.000454,48
0.00045565,33
0.000459967,32.33333333
0.000466,0
0.000466,0
0.000468368,42.94736842
0.000468967,46
0.000469,49.33333333
0.000469,54
0.000469,29
0.000469,55
0.000469,36
0.00047,41
0.00047,41
0.000473,37
0.000474,22
0.000474,55
0.000474,22
0.0004745,44.66666667
0.00048,56
0.000484,46
0.00049,53
0.00049169,49.5
0.000492,41
0.000495,46
0.00049655,66.5
0.000501,0
0.000501,47.5
0.000502,1.666666667
0.000502,49
0.000505,24
0.000506,0
0.000506,49
0.000507,0
0.00051,39
0.00051165,0
0.0005152,43.16666667
0.000517,52
0.0005195,42.5
0.00052,61
0.00052,0
0.000520817,57
0.000522,36
0.000527,55
0.0005295,0
0.00053,27
0.0005305,47.5
0.000531,32
0.000532,33
0.000532,49
0.000534,34
0.000536367,46.33333333
0.000538,50
0.000538725,30
0.00054,46
0.00054,41
0.000541,64
0.00054135,52.25
0.000542,0
0.000542,26
0.000542,0
0.000543,45
0.000544455,54.72727273
0.000547,64
0.000548,64
0.000548,0
0.000548146,40.40963855
0.0005486,57
0.000549,0
0.000549,41
0.00055,53.33333333
0.000551,41
0.000554,78
0.000554,78
0.000555,43
0.000555,46
0.000557,36
0.000559,56
0.00056314,28.7
0.000564,0
0.000571,38
0.000571,39
0.000573,59
0.0005755,50.5
0.000576,0
0.000581,50
0.000585,61
0.000585,59
0.000587,52
0.000588,51
0.000588,39
0.000588,0
0.00059,0
0.00059,0
0.000591,0
0.0005935,49
0.000595,27
0.000599,32
0.000601,34
0.000601,34
0.000601,0
0.000609,31
0.000612218,32.72727273
0.000614,54
0.000617,39
0.0006172,49
0.000619,50
0.000621,1
0.000621,1
0.000623,0
0.000628,49
0.000633,66
0.000634094,34.52941176
0.000634333,50.66666667
0.000635667,54.83333333
0.000636,1
0.000636,1
0.000638,24
0.000639,64
0.00064,0
0.00064,56.5
0.00064,64
0.000641,41
0.000646047,44.53333333
0.000651,0
0.000651,41.5
0.000652667,44.33333333
0.000657,37
0.000661,49
0.000662,38
0.000662,46
0.000662,38
0.000671,54
0.000672,0
0.000680625,51.16666667
0.000686,45
0.000687,50
0.000687,0
0.000689,42
0.00069,0
0.000692,32
0.000692,37.5
0.000694,41
0.000695,44
0.000696,43
0.0007005,58
0.0007029,54.5
0.000704,65.5
0.000708,45
0.000713667,46.66666667
0.000717,54
0.000719,57
0.000721,41
0.000721,44
0.000721033,36.66666667
0.000723,52
0.0007238,50.4
0.000724,0
0.000725,0
0.000728,47
0.000729,38
0.000732,59
0.000732,59
0.00073375,57.5
0.000734,0
0.000734,46
0.00073425,0
0.000738,49
0.000744,36
0.000744,56
0.000748,50
0.000749,0
0.000749,0
0.000749,0
0.00075,28
0.000755,54
0.000755,50.5
0.000757,52
0.000758733,0
0.000761,0
0.000763,46.5
0.000772,49
0.000773,49
0.000778,62
0.000781,0
0.000781,0
0.000781,50
0.000785,52
0.000786,32
0.0007875,63
0.00079,59
0.000791,61
0.000792,65
0.000794392,51.91666667
0.000798,44
0.000798,47
0.000798657,52.57894737
0.000804,63
0.000812,26
0.00081626,38.33333333
0.000817,48
0.000817,39
0.00082,49
0.000821,48
0.000826,69
0.000827,67
0.000834,61
0.000834,0
0.000837,63
0.000838,2
0.000844,0
0.000844,0
0.000844,0
0.000845,43
0.00085,56
0.000851,51
0.000851,35
0.000851,37
0.000855,0
0.000856,62.5
0.000858,0
0.000861,53
0.000862,47
0.000867,53
0.000871,0
0.000871,0
0.000871,0
0.000875,63
0.000876,68
0.0008841,54
0.00089,44
0.00089,0
0.00089,50
0.000891,65
0.000891333,46
0.000892,65
0.000892,0
0.000892,0
0.000893,39
0.000894,47
0.000895,72
0.000897,53
0.000898333,52.33333333
0.0009025,49
0.000905067,55
0.0009076,59.25
0.000909,53
0.000912,47
0.000912,33
0.0009122,0
0.000913,0
0.000913,0
0.000914,47
0.000917318,35.625
0.000921,50
0.000922,38
0.000925,32
0.000926,61
0.000926,61
0.000928,54
0.000933,53
0.000936,28
0.000943,59.66666667
0.0009483,50
0.000949,57
0.00095,35
0.00095,52
0.00095,52
0.000950675,51.5
0.000955055,48.63636364
0.000957691,52
0.000958,0
0.00096037,51
0.000962,58
0.000965,35
0.000966,54
0.000966,54
0.000966,54
0.000966,54
0.000968,48
0.000969,62
0.000969,50
0.000979,52
0.000979,0
0.000981,50
0.0009812,0
0.000989,29
0.000992408,42.8
0.000994,0
0.000997667,0
0.000998,52
0.001,27
0.00101,48
0.001017,45.5
0.001029875,30.75
0.00103,59
0.00103,35
0.0010315,51
0.001035771,33.875
0.00104,37
0.00105,0
0.00105,42
0.001050315,39.2
0.00106,45
0.00106,33
0.00107,61
0.00107,0
0.0010715,54.5
0.00107655,36.16666667
0.00108,0
0.00108,26
0.00108,48
0.001081933,40.66666667
0.001086575,66.75
0.00109,0
0.00109,0
0.00109,33
0.00109,46
0.00109,49
0.0010925,56.5
0.001094,36
0.0011,64
0.0011,64
0.0011,48
0.001101,43.5
0.001103667,39
0.0011061,56.25
0.00111,44
0.00112,48
0.00112,33
