genres,acousticness,danceability,loudness,tempo,popularity,key
[],0.0717,0.8140000000000001,-5.416,120.113,47.0,11
[],0.0782,0.906,-13.632,126.073,30.0,9
"['hip house', 'latin house', 'vogue']",0.0718,0.7809999999999999,-13.943,122.819,29.0,2
"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']",0.05296076190476192,0.8730952380952378,-11.565857142857144,126.41295238095238,35.80952380952381,7
"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']",0.00436,0.53,-6.19,134.06799999999998,51.0,10
"['bubblegum dance', 'eurodance', 'europop', 'hip house']",0.03078,0.69825,-11.52175,130.9715,55.75,5
[],0.0348,0.7879999999999999,-13.304,102.345,45.0,1
"['eurodance', 'hip house']",0.0021876666666666668,0.8793333333333333,-9.098999999999998,127.01466666666666,56.33333333333334,11
['dirty texas rap'],0.0443,0.851,-10.707,117.847,33.0,11
"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']",0.000236,0.458,-12.130999999999998,133.57299999999998,27.0,2
['new age'],0.905,0.229,-19.014333333333333,114.31200000000001,48.33333333333334,7
[],0.4750000000000001,0.463,-10.9785,125.39125,1.25,9
[],0.995,0.501,-11.514,109.956,0.0,2
[],0.831,0.3466666666666667,-13.196,100.02433333333332,0.0,5
"['atl hip hop', 'rap', 'trap']",0.13172491011235954,0.7817640449438202,-7.367921348314602,125.43782022471912,67.01123595505618,1
[],0.948,0.789,-9.337,139.616,16.0,8
"['swedish hard rock', 'swedish melodic rock']",4.58e-05,0.8340000000000001,-14.531,139.997,0.0,7
"['brooklyn drill', 'nyc rap']",0.281,0.83,-6.892,143.892,70.0,11
"['bachata', 'latin', 'tropical']",0.206,0.8140000000000001,-6.928,126.976,44.0,7
"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",0.0598,0.5405,-5.4345,117.9925,66.5,1
['cali rap'],0.1445252631578947,0.7429473684210526,-5.020052631578949,120.76063157894735,74.26315789473685,0
"['emo rap', 'sad rap']",0.428,0.514,-7.2810000000000015,76.393,68.0,2
"['afro dancehall', 'afropop', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop']",0.0158,0.591,-7.483,147.957,0.0,1
"['bow pop', 'cello', 'classify']",0.603,0.5865,-8.705000000000002,122.251,59.0,2
['kentucky hip hop'],0.2912,0.6224999999999999,-9.2685,103.163,69.5,11
"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",0.08522333333333333,0.6880000000000001,-3.418333333333333,128.23700000000002,58.66666666666666,4
"['k-pop', 'k-pop boy group', 'korean pop']",0.17600000000000002,0.615,-4.457,131.989,48.0,3
"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.1335668676470589,0.7733933823529414,-7.133066176470593,107.80979044117657,49.125,1
[],0.0938,0.893,-7.5139999999999985,94.307,42.0,1
['epicore'],0.1,0.14,-10.145,185.121,75.0,1
['deep christian rock'],0.6054999999999999,0.4330000000000001,-11.488499999999998,89.17299999999999,28.5,1
[],0.0013,0.516,-8.204,130.069,0.0,1
"['gangster rap', 'west coast rap']",0.046651428571428566,0.9071428571428573,-11.439571428571426,102.70085714285713,35.142857142857146,6
"['early american folk', 'string band', 'traditional country']",0.5895,0.5515000000000001,-7.9144999999999985,103.9895,41.0,2
[],0.0757,0.764,-10.295,96.114,16.0,1
"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",0.04060752941176469,0.5058627450980395,-5.749568627450977,130.75405882352945,50.01960784313725,7
"['canadian metal', 'speed metal', 'vancouver metal', 'vancouver punk']",6.4e-05,0.3670000000000001,-3.1860000000000004,97.0,46.0,9
[],0.479,0.599,-8.552,121.11,0.0,6
"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",0.0206778754716981,0.615735849056604,-7.346490566037732,134.83832075471688,40.45283018867924,9
['sad rap'],0.6709999999999999,0.98,-11.052,119.993,77.0,8
[],0.113,0.772,-7.983,119.962,54.0,8
"['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']",0.00119,0.585,-4.843,160.079,53.0,0
"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",0.0291728205128205,0.5290769230769231,-11.375435897435901,126.70312820512824,32.7948717948718,0
['trival'],0.1492,0.7285,-4.3599999999999985,131.91899999999998,55.0,1
"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",0.183,0.496,-3.648,127.961,52.0,1
"['girl group', 'hip pop', 'r&b', 'urban contemporary']",0.0558,0.7177999999999999,-5.9238,129.68479999999997,49.4,6
"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",0.020766,0.6837499999999999,-3.92975,125.77264999999996,53.95,5
"['dark clubbing', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock']",0.3496666666666666,0.6696666666666666,-11.056,113.091,45.33333333333334,10
"['g funk', 'hyphy', 'west coast rap', 'west coast trap']",0.0165,0.7190000000000001,-4.169,95.19,46.0,10
"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",0.15906666666666666,0.8503333333333333,-13.846000000000002,105.84233333333334,28.33333333333333,4
"['nu metal', 'rap rock']",0.0075,0.444,-4.962,99.655,38.0,2
[],0.02194,0.515,-2.603,178.48000000000005,59.5,7
"['new wave pop', 'pop rock']",0.18415,0.5286666666666667,-10.100500000000002,117.87649999999998,48.33333333333334,7
"['anime rock', 'vocaloid']",0.7490000000000001,0.363,-8.607999999999999,76.09899999999998,37.0,11
"['oi', 'punk', 'ska']",0.0104,0.2655,-4.7330000000000005,154.4345,33.5,11
"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']",0.00212,0.617,-6.983,138.001,57.0,3
[],0.0102,0.76,-7.307,91.179,52.0,3
"['detroit trap', 'rap', 'southern hip hop', 'trap']",0.19697777777777767,0.8468888888888891,-6.050555555555555,126.25266666666666,69.22222222222223,1
['broadway'],0.885,0.314,-11.237,165.023,4.0,7
"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",0.016083825,0.4175,-8.59175,155.66150000000005,30.5,9
[],0.784,0.628,-18.878,130.486,0.0,0
"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']",0.2823333333333333,0.4763333333333333,-10.056333333333336,111.23966666666668,33.666666666666664,4
