tempo,popularity
69.722,48.5
69.72466667,0
69.752,0
69.7935,0
69.813,54
69.824,37
69.83,0
69.83,0
69.839,44
69.862,0
69.862,62
69.8665,3
69.884,0
69.891,19
69.897,64
69.906,51
69.918,0
69.95,0
69.956,0
69.9615,35
69.969,55
69.978,0
69.99,0
70.024,0
70.049,52
70.053,0
70.063,0
70.122,40
70.183,40
70.203,29
70.21,13
70.231,74
70.277,0
70.295,37
70.311,0
70.332,49
70.3465,8
70.35,0
70.357,60
70.357,59
70.372,42
70.373,0
70.379,0
70.384,2
70.401,0
70.41757143,54.57142857
70.418,0
70.446,37
70.447,0
70.452,39
70.474,54
70.474,0
70.474,54
70.483,18
70.483,18
70.486,0
70.495,0
70.526,41
70.528,16
70.55,0
70.557,10
70.572,0
70.584,57
70.585,0
70.58966667,0
70.683,1
70.708,0
70.7185,0
70.719,8
70.72,0
70.721,24
70.737,0
70.74233333,0
70.754,0
70.763,45
70.763,45
70.763,45
70.763,45
70.763,45
70.763,45
70.763,45
70.763,45
70.784,13
70.79,41
70.81,0
70.834,2
70.834,2
70.834,2
70.834,2
70.872,70
70.949,62
70.949,62
70.949,62
70.959,0
70.997,48
71.029,0
71.029,0
71.043,0
71.056,53
71.061,65
71.088,0
71.088,0
71.091,42
71.095,21
71.1,29
71.1,29
71.1,29
71.114,67
71.115,19
71.126,0
71.133,0
71.146,0
71.17675,0
71.31166667,45
71.326,0
71.32875,1
71.343,0
71.3432,0
71.355,36
71.355,0
71.359,0
71.364,28
71.372,0
71.395,0
71.405,64
71.405,0
71.436,0
71.436,0
71.436,0
71.4385,0
71.447,0
71.448,45
71.477,52
71.477,52
71.49325,67.25
71.501,14
71.501,0
71.51,0
71.512,18
71.512,18
71.512,18
71.513,3
71.524,69
71.524,69
71.524,0
71.539,42.5
71.551,0
71.56175,0.75
71.583,61
71.5855,0
71.598,45
71.599,0
71.611,67
71.6615,54
71.673,47
71.673,47
71.718,35
71.72,58
71.756,21
71.774,61
71.777,0
71.781,34
71.782,48
71.782,48
71.782,48
71.782,48
71.786,0
71.824,45
71.827,63
71.832,44
71.842,51
71.858,65
71.866,0
71.873,46.5
71.884,81
71.884,45
71.895,60
71.912,0
71.913,0
71.943,58
71.949,49.5
71.977,50
71.9775,0
71.979,31
71.996,48
71.996,59
72.024,1
72.044,52.5
72.051,0
72.051,0
72.062,41
72.062,41
72.08,0
72.084,0
72.11,0
72.115,43
72.141,0
72.141,0
72.147,32
72.163,0
72.167,0
72.169,0
72.169,0
72.175,0
72.197,38
72.223,44
72.223,44
72.282,61
72.28566667,0
72.315,0
72.323,65
72.326,23.5
72.339,64
72.348,59
72.363,52
72.365,46
72.4165,0.5
72.42333333,42.66666667
72.437,47
72.452,26
72.482,0
72.4835,67.25
72.492,4
72.498,43
72.499,31
72.507,0
72.517,0
72.541,1
72.55,64
72.58,68
72.615,38
72.618,45
72.627,0
72.666,0
72.673,0
