popularity,key
34.85714286,0
34.85185185,0
34.625,0
45.37142857,0
63,0
27,0
23,0
74.26315789,0
53,0
32.79487179,0
0,0
61.01538462,0
63.86956522,0
60,0
62,0
67.66666667,0
53.42307692,0
54,0
62.66666667,0
0,0
59,0
55.25,0
24,0
0,0
14,0
62,0
48.44444444,0
57,0
57,0
58,0
50,0
34,0
0,0
21.33333333,0
0,0
61,0
55,0
44,0
45.16666667,0
44,0
44,0
61.475,0
53,0
0,0
49.5,0
70,0
31,0
32,0
18.18421053,0
62,0
68,0
35,0
37,0
20.13636364,0
4,0
19,0
36.47712418,0
0,0
24.65217391,0
0,0
30.18181818,0
27.83783784,0
34,0
12,0
1.416666667,0
50,0
29,0
49.36708861,0
10.5,0
41.85714286,0
48,0
2.214285714,0
0.046511628,0
0,0
0,0
31.75,0
4,0
55,0
0,0
60.53846154,0
61,0
67.66666667,0
51,0
56,0
43.7,0
64,0
47.46666667,0
59.625,0
49,0
52,0
34,0
1.6,0
0,0
67,0
44,0
45,0
12.9375,0
0,0
41,0
0,0
11,0
44,0
40,0
45,0
51,0
54,0
0.666666667,0
0,0
0,0
80,0
0,0
51,0
49,0
60.5,0
0,0
46.5,0
50,0
49.66666667,0
0,0
51,0
40,0
58,0
34,0
51.85714286,0
66,0
3,0
39,0
25,0
49,0
50,0
67,0
56,0
37,0
34.64285714,0
13.2,0
19.80952381,0
30.81278539,0
45,0
39.88888889,0
42,0
23,0
49,0
46.66666667,0
46,0
54.11111111,0
0,0
57.5,0
2,0
0,0
25,0
0,0
35.5,0
31.38461538,0
48.53571429,0
36,0
43,0
68.08333333,0
51,0
47,0
0,0
54,0
51,0
0,0
45.4,0
12.375,0
36,0
54.52173913,0
32.88669951,0
68.69811321,0
39,0
9.133333333,0
74.36363636,0
66,0
42.65217391,0
31.6,0
31,0
0,0
28,0
56,0
26,0
25.16666667,0
2.181818182,0
9.705882353,0
12.35,0
37.25,0
0,0
0.125,0
0.240837696,0
0,0
44,0
0,0
0.4,0
50.35714286,0
36.0625,0
49.25,0
39.13333333,0
41,0
46,0
0,0
60,0
20,0
0,0
52,0
39,0
26,0
52,0
0,0
56.54716981,0
28.68421053,0
0,0
58.55294118,0
67,0
53,0
42,0
8,0
43.8,0
58,0
15.45454545,0
6,0
43,0
57,0
54,0
57.76470588,0
0,0
67,0
49,0
47.42857143,0
33.16,0
14.6,0
0,0
43,0
71.5,0
0.25,0
44,0
43.75229358,0
38.75,0
64.66666667,0
30,0
26.09090909,0
7.5,0
30.23809524,0
49,0
0,0
45,0
11.57142857,0
12,0
48,0
